XuatXu,TinhTrang,DongXe,SoKmDaDi,MauNgoaiThat,MauNoiThat,SoCua,SoChoNgoi,HopSo,DanDong,Hang,Grade,NamSanXuat,LoaiDongCo,DungTich,Gia
1,0,2,0,1,2,5,7,1,1,2,10,2023,1,2.7,2588
1,0,5,0,1,2,4,5,1,3,8,51,2022,1,1.5,421
1,0,5,0,5,4,4,5,1,4,1,58,2022,1,2,4499
0,0,6,0,5,2,4,5,0,1,4,8,2023,2,2.2,619
1,0,5,0,1,2,4,5,1,3,8,51,2023,1,1.5,505
1,0,2,0,1,2,5,7,1,3,5,15,2022,1,1.5,588
1,0,6,0,2,1,4,5,1,4,5,50,2022,2,2.4,650
1,0,5,0,5,2,4,5,1,3,5,55,2022,1,1.2,465
0,0,4,0,3,4,4,6,0,4,4,9,2022,2,2.2,840
0,0,5,0,1,2,4,5,1,4,1,59,2022,1,2,779
1,0,5,0,1,2,4,5,1,3,5,55,2022,1,1.2,465
0,0,2,0,2,2,5,7,1,4,1,60,2022,1,2,1333
0,0,5,0,1,2,4,5,1,4,1,59,2022,1,2,779
0,0,5,0,5,2,4,5,1,4,1,59,2022,1,2,871
0,0,3,0,1,3,5,8,1,4,2,3,2023,1,2,870
1,0,5,0,2,2,4,5,1,3,3,61,2022,1,1.5,1319
0,0,5,0,1,2,4,5,1,3,3,18,2022,1,1.5,599
0,0,5,0,5,2,4,5,1,3,3,18,2022,1,1.5,559
0,0,2,0,1,4,5,7,1,3,3,6,2022,1,1.5,998
0,0,2,0,2,2,5,7,1,3,3,6,2022,1,1.5,148
0,0,2,0,6,2,5,7,1,3,3,6,2022,1,1.5,1118
1,0,2,0,2,2,5,7,1,3,5,15,2022,1,1.5,648
1,0,2,0,4,2,5,7,1,3,5,15,2022,1,1.5,648
0,0,2,0,5,2,5,5,1,3,8,38,2022,1,2,799
1,0,5,0,5,2,4,5,1,3,5,55,2023,1,1.2,460
1,0,7,0,5,2,5,5,1,3,2,37,2023,1,1.2,384
1,0,5,0,1,2,4,5,0,3,5,55,2022,1,1.2,380
1,0,5,0,5,2,4,5,1,3,5,55,2022,1,1.2,465
1,0,2,0,2,2,5,7,1,3,5,15,2022,1,1.5,648
0,0,5,0,2,2,4,5,1,3,3,18,2022,1,1.5,529
1,0,6,0,4,2,4,5,1,4,5,50,2023,2,2.4,650
1,0,5,0,3,2,4,5,0,3,5,55,2023,1,1.2,375
